"ID","Name","LongName","Parent"
"L110","H:","H:","L101"
"L111","project","H:/project","L110"
"L112","clone class classification","H:/project/clone class classification","L111"
"L113","SourceMeter-9.2.0-x64-Windows","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows","L112"
"L114","Java","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java","L113"
"L115","Demo","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo","L114"
"L116","iFL4Eclipse","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse","L115"
"L117","org.eclipse.sed.ifl.root","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root","L116"
"L118","bundles","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root/bundles","L117"
"L119","org.eclipse.sed.ifl","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root/bundles/org.eclipse.sed.ifl","L118"
"L120","src","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root/bundles/org.eclipse.sed.ifl/src","L119"
"L121","org","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root/bundles/org.eclipse.sed.ifl/src/org","L120"
"L122","eclipse","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root/bundles/org.eclipse.sed.ifl/src/org/eclipse","L121"
"L123","sed","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root/bundles/org.eclipse.sed.ifl/src/org/eclipse/sed","L122"
"L4837","wb","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root/bundles/org.eclipse.sed.ifl/src/org/eclipse/wb","L122"
"L124","ifl","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root/bundles/org.eclipse.sed.ifl/src/org/eclipse/sed/ifl","L123"
"L4838","swt","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root/bundles/org.eclipse.sed.ifl/src/org/eclipse/wb/swt","L4837"
"L125","bi","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root/bundles/org.eclipse.sed.ifl/src/org/eclipse/sed/ifl/bi","L124"
"L231","control","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root/bundles/org.eclipse.sed.ifl/src/org/eclipse/sed/ifl/control","L124"
"L1744","core","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root/bundles/org.eclipse.sed.ifl/src/org/eclipse/sed/ifl/core","L124"
"L1786","general","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root/bundles/org.eclipse.sed.ifl/src/org/eclipse/sed/ifl/general","L124"
"L1799","ide","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root/bundles/org.eclipse.sed.ifl/src/org/eclipse/sed/ifl/ide","L124"
"L3310","model","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root/bundles/org.eclipse.sed.ifl/src/org/eclipse/sed/ifl/model","L124"
"L4024","util","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root/bundles/org.eclipse.sed.ifl/src/org/eclipse/sed/ifl/util","L124"
"L4471","view","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root/bundles/org.eclipse.sed.ifl/src/org/eclipse/sed/ifl/view","L124"
"L4769","views","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root/bundles/org.eclipse.sed.ifl/src/org/eclipse/sed/ifl/views","L124"
"L126","faced","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root/bundles/org.eclipse.sed.ifl/src/org/eclipse/sed/ifl/bi/faced","L125"
"L290","feedback","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root/bundles/org.eclipse.sed.ifl/src/org/eclipse/sed/ifl/control/feedback","L231"
"L602","monitor","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root/bundles/org.eclipse.sed.ifl/src/org/eclipse/sed/ifl/control/monitor","L231"
"L851","score","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root/bundles/org.eclipse.sed.ifl/src/org/eclipse/sed/ifl/control/score","L231"
"L1551","session","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root/bundles/org.eclipse.sed.ifl/src/org/eclipse/sed/ifl/control/session","L231"
"L1803","accessor","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root/bundles/org.eclipse.sed.ifl/src/org/eclipse/sed/ifl/ide/accessor","L1799"
"L1961","gui","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root/bundles/org.eclipse.sed.ifl/src/org/eclipse/sed/ifl/ide/gui","L1799"
"L3155","handlers","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root/bundles/org.eclipse.sed.ifl/src/org/eclipse/sed/ifl/ide/handlers","L1799"
"L3198","preferences","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root/bundles/org.eclipse.sed.ifl/src/org/eclipse/sed/ifl/ide/preferences","L1799"
"L3325","monitor","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root/bundles/org.eclipse.sed.ifl/src/org/eclipse/sed/ifl/model/monitor","L3310"
"L3652","score","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root/bundles/org.eclipse.sed.ifl/src/org/eclipse/sed/ifl/model/score","L3310"
"L3748","session","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root/bundles/org.eclipse.sed.ifl/src/org/eclipse/sed/ifl/model/session","L3310"
"L3751","source","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root/bundles/org.eclipse.sed.ifl/src/org/eclipse/sed/ifl/model/source","L3310"
"L3860","user","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root/bundles/org.eclipse.sed.ifl/src/org/eclipse/sed/ifl/model/user","L3310"
"L4027","event","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root/bundles/org.eclipse.sed.ifl/src/org/eclipse/sed/ifl/util/event","L4024"
"L4121","exception","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root/bundles/org.eclipse.sed.ifl/src/org/eclipse/sed/ifl/util/exception","L4024"
"L4201","items","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root/bundles/org.eclipse.sed.ifl/src/org/eclipse/sed/ifl/util/items","L4024"
"L4368","profile","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root/bundles/org.eclipse.sed.ifl/src/org/eclipse/sed/ifl/util/profile","L4024"
"L4385","ui","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root/bundles/org.eclipse.sed.ifl/src/org/eclipse/sed/ifl/util/ui","L4024"
"L4392","wrapper","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root/bundles/org.eclipse.sed.ifl/src/org/eclipse/sed/ifl/util/wrapper","L4024"
"L129","execution","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root/bundles/org.eclipse.sed.ifl/src/org/eclipse/sed/ifl/bi/faced/execution","L126"
"L859","filter","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root/bundles/org.eclipse.sed.ifl/src/org/eclipse/sed/ifl/control/score/filter","L851"
"L1804","gui","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root/bundles/org.eclipse.sed.ifl/src/org/eclipse/sed/ifl/ide/accessor/gui","L1803"
"L1823","source","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root/bundles/org.eclipse.sed.ifl/src/org/eclipse/sed/ifl/ide/accessor/source","L1803"
"L1968","dialogs","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root/bundles/org.eclipse.sed.ifl/src/org/eclipse/sed/ifl/ide/gui/dialogs","L1961"
"L2080","element","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root/bundles/org.eclipse.sed.ifl/src/org/eclipse/sed/ifl/ide/gui/element","L1961"
"L2800","icon","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root/bundles/org.eclipse.sed.ifl/src/org/eclipse/sed/ifl/ide/gui/icon","L1961"
"L3381","event","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root/bundles/org.eclipse.sed.ifl/src/org/eclipse/sed/ifl/model/monitor/event","L3325"
"L3608","resource","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root/bundles/org.eclipse.sed.ifl/src/org/eclipse/sed/ifl/model/monitor/resource","L3325"
"L3655","history","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root/bundles/org.eclipse.sed.ifl/src/org/eclipse/sed/ifl/model/score/history","L3652"
"L3861","identification","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root/bundles/org.eclipse.sed.ifl/src/org/eclipse/sed/ifl/model/user/identification","L3860"
"L3873","interaction","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root/bundles/org.eclipse.sed.ifl/src/org/eclipse/sed/ifl/model/user/interaction","L3860"
"L4033","core","H:/project/clone class classification/SourceMeter-9.2.0-x64-Windows/Java/Demo/iFL4Eclipse/org.eclipse.sed.ifl.root/bundles/org.eclipse.sed.ifl/src/org/eclipse/sed/ifl/util/event/core","L4027"
